0.5149	10.4204
0.9334	9.9146
1.3346	9.6182
2.5205	9.7751
3.8982	9.7402
5.3981	9.7577
7.0026	9.7926
8.4675	9.3042
9.0779	9.5833
10.0720	9.6705
10.6824	9.7926
11.3800	10.3681
11.4149	9.0775
11.3800	8.3276
10.5952	7.6474
9.9674	8.3276
10.6475	7.0196
10.4906	6.3046
10.1766	5.6070
9.4093	5.6070
8.5198	5.6070
8.4501	6.4790
8.4152	7.4033
8.4152	8.1881
7.6130	5.6244
6.8282	5.8337
5.2586	5.0663
5.8690	5.6244
6.2178	6.1302
6.0259	7.3510
6.8805	8.3974
5.3806	7.6998
4.2470	7.5951
3.2704	7.1242
2.7821	7.6474
2.1194	8.3102
3.2530	6.2522
2.3286	5.5721
4.4738	5.0489
3.9331	5.6942
1.4741	5.5546
0.8986	6.5836
0.8637	7.5428
0.8637	8.6415
2.5205	4.4908
3.0262	3.4270
2.1891	2.5375
4.4040	3.2002
5.5376	3.8106
6.5491	3.7409
7.1072	4.3338
6.8979	2.8689
6.6363	1.9969
7.0723	1.2121
6.2352	0.8633
5.4678	0.8633
4.9272	2.0318
4.5261	1.3516
3.6890	1.0900
2.7472	1.0900
1.2125	1.2993
0.5846	0.4447
0.9160	2.1190
0.9334	3.2351
0.9334	4.4385
8.0141	1.1598
9.1302	1.1598
10.3510	1.4214
11.3626	0.3750
10.6824	2.2410
10.6650	3.3049
10.6650	4.4036
8.4501	4.4734
7.7400	3.0122
8.5147	3.4263
9.2094	2.6382
11.0527	0.7547
